repeat,seed,fold,task,pos,neg,AUROC,AUPRC,F1,Precision,Recall
8,50,2,immune,3,6,0.833,0.833,0.8,1.0,0.667
8,50,2,chronic,2,9,0.722,0.367,0.0,0.0,0.0
8,50,2,stage3,7,4,0.679,0.78,0.8,0.75,0.857
8,50,3,immune,3,6,0.389,0.387,0.4,0.5,0.333
8,50,3,chronic,2,9,0.833,0.7,0.0,0.0,0.0
8,50,3,stage3,8,3,0.792,0.921,0.667,1.0,0.5
8,50,4,immune,2,6,0.583,0.643,0.286,0.2,0.5
8,50,4,chronic,2,8,0.625,0.325,0.0,0.0,0.0
8,50,4,stage3,9,1,0.778,0.977,0.875,1.0,0.778
9,51,0,immune,3,6,0.611,0.625,0.5,1.0,0.333
9,51,0,chronic,2,9,0.5,0.278,0.0,0.0,0.0
9,51,0,stage3,6,4,0.667,0.826,0.667,0.667,0.667
9,51,1,immune,3,6,0.722,0.556,0.5,0.4,0.667
9,51,1,chronic,2,9,0.556,0.6,0.667,1.0,0.5
9,51,1,stage3,6,3,0.889,0.958,0.857,0.75,1.0
9,51,2,immune,3,6,0.5,0.425,0.333,0.333,0.333
9,51,2,chronic,2,9,0.444,0.267,0.0,0.0,0.0
9,51,2,stage3,6,4,0.208,0.581,0.364,0.4,0.333
9,51,3,immune,3,6,0.778,0.722,0.5,0.4,0.667
9,51,3,chronic,2,9,0.833,0.5,0.5,0.5,0.5
9,51,3,stage3,9,2,0.611,0.909,0.842,0.8,0.889
9,51,4,immune,2,6,0.75,0.7,0.667,1.0,0.5
9,51,4,chronic,2,8,0.812,0.5,0.5,0.5,0.5
9,51,4,stage3,7,3,0.524,0.769,0.714,0.714,0.714
10,52,0,immune,3,6,0.722,0.533,0.0,0.0,0.0
10,52,0,chronic,2,9,0.889,0.583,0.5,0.5,0.5
10,52,0,stage3,8,2,0.562,0.864,0.8,0.857,0.75
10,52,1,immune,3,6,0.389,0.387,0.4,0.5,0.333
10,52,1,chronic,2,9,0.833,0.5,0.5,0.5,0.5
10,52,1,stage3,8,3,0.333,0.725,0.462,0.6,0.375
10,52,2,immune,3,6,0.833,0.639,0.667,0.667,0.667
10,52,2,chronic,2,9,0.778,0.667,0.667,1.0,0.5
10,52,2,stage3,8,3,0.875,0.953,0.8,0.857,0.75
10,52,3,immune,3,6,0.667,0.643,0.571,0.5,0.667
10,52,3,chronic,2,9,0.722,0.643,0.4,0.333,0.5
10,52,3,stage3,6,2,0.667,0.897,0.769,0.714,0.833
10,52,4,immune,2,6,0.5,0.393,0.5,0.5,0.5
10,52,4,chronic,2,8,0.75,0.45,0.5,0.5,0.5
10,52,4,stage3,4,6,0.417,0.427,0.545,0.429,0.75
11,53,0,immune,3,6,0.556,0.5,0.4,0.5,0.333
11,53,0,chronic,2,9,0.444,0.341,0.0,0.0,0.0
11,53,0,stage3,7,3,0.762,0.895,0.857,0.857,0.857
11,53,1,immune,3,6,0.833,0.833,0.8,1.0,0.667
11,53,1,chronic,2,9,1.0,1.0,0.8,0.667,1.0
11,53,1,stage3,6,4,0.25,0.521,0.571,0.5,0.667
11,53,2,immune,3,6,0.333,0.328,0.4,0.286,0.667
11,53,2,chronic,2,9,0.667,0.393,0.333,0.25,0.5
11,53,2,stage3,7,3,0.571,0.821,0.667,0.625,0.714
11,53,3,immune,3,6,0.611,0.625,0.4,0.5,0.333
11,53,3,chronic,2,9,0.444,0.226,0.0,0.0,0.0
